district,victim_plural,month,day,hour,fatal,female,male,asian,black or african american,unknownrace,white,hispanic or latinx,not hispanic or latinx,unknowneth
C11,1,7,30,23,0,0,1,0,0,1,0,0,0,1
C11,1,7,30,23,0,1,0,0,0,1,0,0,0,1
B3,0,8,1,12,1,0,1,0,1,0,0,0,1,0
A7,0,8,6,2,0,0,1,0,0,1,0,1,0,0
B3,0,8,11,20,1,0,1,0,1,0,0,0,1,0
D4,0,8,13,22,1,0,1,0,1,0,0,0,1,0
C11,0,8,14,1,0,0,1,0,1,0,0,0,1,0
B2,0,8,13,23,0,0,1,0,0,0,1,1,0,0
B3,0,8,15,0,0,1,0,0,0,0,1,1,0,0
C6,1,8,18,4,0,0,1,0,1,0,0,0,1,0
C6,1,8,18,4,0,0,1,0,1,0,0,0,1,0
B3,0,8,22,5,0,0,1,0,1,0,0,0,1,0
B3,0,8,21,20,0,0,1,0,1,0,0,0,0,1
B3,0,8,20,19,0,0,1,0,1,0,0,0,1,0
C11,0,8,20,3,0,0,1,0,0,0,1,1,0,0
C6,0,8,27,0,0,0,1,0,1,0,0,0,1,0
B3,0,8,27,6,0,0,1,0,1,0,0,0,1,0
E13,0,8,27,15,0,0,1,0,0,0,1,1,0,0
B3,0,8,28,17,1,0,1,0,1,0,0,0,1,0
B3,0,8,27,13,0,0,1,0,1,0,0,0,1,0
C11,1,9,4,2,1,0,1,0,1,0,0,0,1,0
C11,1,9,4,2,1,0,1,0,1,0,0,0,1,0
C11,0,9,4,1,0,0,1,0,1,0,0,0,1,0
B2,0,8,27,8,0,0,1,0,1,0,0,0,0,0
B2,0,9,1,16,0,1,0,0,1,0,0,0,0,1
C11,0,8,31,17,1,0,1,0,1,0,0,0,1,0
B2,0,8,31,20,1,0,1,0,1,0,0,0,1,0
B3,0,8,31,19,0,0,1,0,1,0,0,0,1,0
C11,0,9,4,14,0,0,1,0,1,0,0,0,0,0
B3,0,9,14,13,0,0,1,0,0,0,0,0,0,0
C11,1,9,16,23,0,1,0,0,1,0,0,0,1,0
C11,1,9,16,23,0,0,1,0,1,0,0,0,0,0
B2,0,9,22,23,0,0,1,0,1,0,0,1,0,0
D4,0,9,29,18,1,0,1,0,1,0,0,1,0,0
D4,0,10,3,1,0,1,0,0,1,0,0,0,0,1
C11,1,10,4,0,1,0,1,0,1,0,0,0,1,0
B2,0,10,4,9,0,0,1,0,0,1,0,0,0,1
C11,1,10,4,0,0,0,0,0,0,0,0,0,0,0
E18,0,10,9,23,0,0,1,0,1,0,0,0,0,0
E13,0,10,10,6,0,0,1,0,1,0,0,0,1,0
B2,1,10,10,12,1,0,1,0,1,0,0,0,1,0
B2,1,10,10,12,0,0,1,0,0,0,1,1,0,0
E18,0,10,17,0,0,0,1,0,0,0,1,0,0,1
C11,1,10,16,20,1,1,0,0,1,0,0,0,1,0
C11,1,10,16,20,0,0,0,0,0,0,0,0,0,0
C11,1,10,16,20,0,0,0,0,0,0,0,0,0,0
B2,0,10,19,19,0,0,1,0,1,0,0,0,0,1
E18,0,10,23,4,1,1,0,0,1,0,0,0,1,0
B3,0,10,22,1,1,0,1,0,1,0,0,0,1,0
E18,0,10,22,3,0,1,0,0,1,0,0,0,1,0
C11,0,10,23,22,1,0,1,0,1,0,0,0,1,0
C11,0,10,26,19,1,0,1,0,1,0,0,0,1,0
C11,1,10,30,5,0,0,1,0,0,0,1,1,0,0
C11,1,10,30,5,0,0,1,0,0,0,1,0,0,0
C11,1,10,30,5,0,1,0,0,0,0,1,1,0,0
B3,0,10,29,22,0,0,1,0,0,0,0,0,0,0
E18,1,11,6,21,0,0,1,0,1,0,0,0,0,1
E18,1,11,6,21,0,0,1,0,0,0,1,1,0,0
E18,1,11,6,21,0,0,1,0,1,0,0,0,0,1
B3,1,11,6,21,1,0,1,0,0,0,1,1,0,0
B3,1,11,6,21,0,0,1,0,1,0,0,0,1,0
B3,0,11,6,21,0,0,1,0,1,0,0,0,1,0
D4,0,11,4,22,1,0,1,0,1,0,0,0,1,0
B3,0,11,9,13,1,0,1,0,1,0,0,0,1,0
B3,0,11,17,20,0,0,1,0,1,0,0,0,1,0
E18,0,11,19,18,0,0,1,0,1,0,0,0,1,0
A15,0,11,20,11,0,0,1,0,0,0,1,1,0,0
B3,0,11,26,17,0,0,1,0,1,0,0,0,0,0
C11,0,11,27,22,0,0,1,0,1,0,0,0,1,0
E18,0,12,2,20,0,0,1,0,1,0,0,0,1,0
B3,1,12,5,15,0,0,1,0,1,0,0,0,0,1
B3,1,12,5,15,0,0,1,0,1,0,0,0,1,0
B3,0,12,11,19,0,0,1,0,1,0,0,0,1,0
D14,0,12,11,2,0,0,0,0,0,0,0,0,0,0
E13,0,12,11,2,0,1,0,0,1,0,0,1,0,0
E13,0,12,10,17,0,0,1,0,1,0,0,0,1,0
B2,0,12,14,23,1,0,1,0,1,0,0,1,0,0
E13,0,12,15,13,0,1,0,0,0,0,0,0,0,0
B3,0,12,23,23,1,0,1,0,1,0,0,0,1,0
